iter	Passed	Remaining
0	144	144139
1	145	72583
2	146	48732
3	147	36786
4	148	29633
5	149	24815
6	151	21460
7	152	18869
8	153	16848
9	153	15227
10	154	13907
11	156	12853
12	156	11914
13	157	11118
14	159	10453
15	160	9854
16	161	9319
17	162	8840
18	163	8453
19	164	8066
20	165	7712
21	166	7391
22	167	7097
23	167	6830
24	168	6587
25	169	6364
26	170	6161
27	171	5963
28	172	5782
29	173	5611
30	174	5452
31	175	5301
32	176	5165
33	177	5033
34	178	4910
35	179	4793
36	179	4680
37	180	4574
38	181	4473
39	182	4377
40	183	4286
41	184	4197
42	184	4115
43	185	4035
44	186	3960
45	187	3889
46	188	3819
47	189	3754
48	190	3690
49	191	3633
50	192	3573
51	192	3517
52	194	3469
53	195	3416
54	195	3366
55	196	3316
56	197	3269
57	198	3224
58	199	3181
59	200	3140
60	201	3100
61	202	3061
62	203	3026
63	204	2988
64	205	2953
65	206	2917
66	207	2883
67	208	2852
68	208	2819
69	209	2786
70	210	2756
71	211	2726
72	212	2696
73	213	2667
74	214	2640
75	214	2613
76	215	2588
77	216	2562
78	217	2537
79	218	2513
80	219	2490
81	220	2466
82	220	2438
83	221	2417
84	222	2394
85	223	2372
86	224	2355
87	225	2334
88	226	2317
89	227	2297
90	228	2278
91	228	2259
92	230	2243
93	231	2229
94	232	2211
95	233	2194
96	233	2176
97	234	2159
98	236	2148
99	236	2132
100	237	2117
101	238	2100
102	239	2087
103	240	2072
104	241	2057
105	242	2042
106	243	2028
107	244	2015
108	244	2002
109	245	1989
110	246	1976
111	247	1962
112	248	1949
113	249	1937
114	250	1925
115	251	1913
116	251	1899
117	252	1887
118	253	1876
119	254	1866
120	255	1855
121	256	1844
122	257	1833
123	257	1822
124	258	1811
125	259	1801
126	260	1790
127	261	1780
128	262	1770
129	263	1761
130	264	1751
131	265	1746
132	266	1736
133	267	1727
134	268	1718
135	269	1709
136	270	1700
137	270	1691
138	271	1682
139	272	1673
140	273	1666
141	274	1656
142	274	1647
143	275	1638
144	276	1630
145	277	1622
146	278	1614
147	279	1607
148	280	1601
149	281	1594
150	282	1586
151	282	1578
152	283	1570
153	284	1563
154	285	1555
155	286	1548
156	287	1541
157	288	1535
158	289	1529
159	290	1522
160	290	1514
161	291	1508
162	292	1502
163	293	1495
164	294	1489
165	295	1482
166	295	1476
167	296	1470
168	297	1464
169	298	1457
170	299	1451
171	300	1445
172	301	1439
173	301	1433
174	302	1428
